Version,Name,Size,NR,NAuth,LOC_Touched,LOC_Added,Max_LOC_Added,Avg_LOC_Added,Churn,ChgSetSize,Buggy
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,215,3,1,14,227,177,75.666664,215,6,true
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,271,2,1,37,284,260,142.0,271,6,false
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,451,5,3,8,534,425,106.8,451,2,true
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,368,2,2,465,305,294,152.5,124,6,false
1,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java,216,4,2,6,220,211,55.0,216,2,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,764,20,3,5,580,106,29.0,-262,7,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java.orig,1027,1,1,1027,1027,1027,1027.0,1027,13,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,51,2,2,3,53,52,26.5,51,6,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,150,2,2,5,63,58,31.5,58,25,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,31,2,2,2,33,33,16.5,31,6,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,196,2,1,13,202,195,101.0,196,7,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,473,12,3,13,375,253,31.25,2,2,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,40,1,1,40,40,40,40.0,40,6,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,255,4,1,10,130,79,32.5,51,7,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,379,4,3,16,401,228,100.25,379,25,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,509,7,3,21,545,378,77.85714,509,2,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,32,1,1,32,32,32,32.0,32,6,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,66,2,1,13,74,69,37.0,66,9,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,187,4,2,5,211,183,52.75,187,15,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,576,3,2,44,589,550,196.33333,576,25,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,158,3,1,5,161,157,53.666668,158,7,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,46,8,2,3,128,92,16.0,-505,7,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java,27,2,1,54,80,79,40.0,27,8,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,788,9,3,48,904,712,100.44444,816,10,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java,60,1,1,60,60,60,60.0,60,13,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,62,5,1,14,74,36,14.8,-87,9,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java,88,2,1,35,118,113,59.0,88,9,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java,52,2,1,5,55,53,27.5,52,9,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,163,2,2,4,9,6,4.5,6,15,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,91,1,1,91,91,91,91.0,91,9,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,139,1,1,22,12,12,12.0,2,15,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,282,1,1,11,11,11,11.0,11,14,true
