ReferringTicketID,IV,OV,FV
BOOKKEEPER-5,1,1,1
BOOKKEEPER-1,1,1,1
BOOKKEEPER-18,1,1,1
BOOKKEEPER-19,1,1,1
BOOKKEEPER-22,1,1,1
BOOKKEEPER-27,1,1,1
BOOKKEEPER-28,1,1,1
BOOKKEEPER-29,1,1,1
BOOKKEEPER-38,1,1,1
BOOKKEEPER-39,1,1,1
BOOKKEEPER-40,1,1,2
BOOKKEEPER-43,1,1,1
BOOKKEEPER-50,1,1,1
BOOKKEEPER-51,1,1,1
BOOKKEEPER-52,1,1,1
BOOKKEEPER-53,1,1,1
BOOKKEEPER-55,1,1,3
BOOKKEEPER-56,1,1,2
BOOKKEEPER-57,1,1,1
BOOKKEEPER-58,1,1,1
BOOKKEEPER-59,1,1,1
BOOKKEEPER-61,1,1,1
BOOKKEEPER-62,1,1,1
BOOKKEEPER-63,1,1,1
BOOKKEEPER-65,1,1,1
BOOKKEEPER-66,1,1,1
BOOKKEEPER-68,1,1,1
BOOKKEEPER-69,1,1,1
BOOKKEEPER-71,1,1,1
BOOKKEEPER-72,1,1,2
BOOKKEEPER-74,1,1,2
BOOKKEEPER-79,1,1,1
BOOKKEEPER-80,1,1,1
BOOKKEEPER-81,1,1,1
BOOKKEEPER-86,1,1,1
BOOKKEEPER-87,1,1,1
BOOKKEEPER-88,1,1,1
BOOKKEEPER-92,1,1,1
BOOKKEEPER-93,1,1,1
BOOKKEEPER-94,1,1,1
BOOKKEEPER-100,1,1,1
BOOKKEEPER-106,1,1,1
BOOKKEEPER-107,1,1,1
BOOKKEEPER-112,1,1,2
BOOKKEEPER-113,1,1,2
BOOKKEEPER-115,1,1,1
BOOKKEEPER-118,1,1,1
BOOKKEEPER-119,1,1,1
BOOKKEEPER-124,1,1,1
BOOKKEEPER-125,1,1,1
BOOKKEEPER-127,1,1,1
BOOKKEEPER-128,1,1,1
BOOKKEEPER-129,1,1,1
BOOKKEEPER-131,1,1,1
BOOKKEEPER-133,1,1,2
BOOKKEEPER-134,1,1,1
BOOKKEEPER-135,1,1,2
BOOKKEEPER-137,1,1,2
BOOKKEEPER-138,1,1,1
BOOKKEEPER-139,1,1,1
BOOKKEEPER-140,1,1,2
BOOKKEEPER-142,1,1,2
BOOKKEEPER-146,1,1,2
BOOKKEEPER-148,1,1,2
BOOKKEEPER-150,1,1,2
BOOKKEEPER-152,1,1,2
BOOKKEEPER-153,1,1,2
BOOKKEEPER-156,1,1,2
BOOKKEEPER-161,1,1,2
BOOKKEEPER-162,1,1,2
BOOKKEEPER-163,1,1,2
BOOKKEEPER-166,1,1,2
BOOKKEEPER-167,1,1,2
BOOKKEEPER-169,1,1,2
BOOKKEEPER-170,1,1,2
BOOKKEEPER-171,1,1,2
BOOKKEEPER-173,1,1,2
BOOKKEEPER-174,1,1,2
BOOKKEEPER-176,1,1,2
BOOKKEEPER-177,1,1,2
BOOKKEEPER-180,1,1,2
BOOKKEEPER-182,1,1,2
BOOKKEEPER-184,1,1,2
BOOKKEEPER-186,1,1,2
BOOKKEEPER-188,1,1,2
BOOKKEEPER-189,1,1,2
BOOKKEEPER-190,1,1,2
BOOKKEEPER-193,1,1,2
BOOKKEEPER-194,1,1,2
BOOKKEEPER-195,1,1,2
BOOKKEEPER-197,1,1,2
BOOKKEEPER-198,1,1,2
BOOKKEEPER-207,1,1,2
BOOKKEEPER-209,1,1,2
BOOKKEEPER-211,1,1,2
BOOKKEEPER-212,1,1,2
BOOKKEEPER-213,1,1,2
BOOKKEEPER-215,1,1,2
BOOKKEEPER-216,1,1,2
BOOKKEEPER-217,1,1,2
BOOKKEEPER-229,1,1,2
BOOKKEEPER-231,1,1,2
BOOKKEEPER-232,1,1,2
BOOKKEEPER-234,1,1,2
BOOKKEEPER-235,1,1,2
BOOKKEEPER-242,1,1,2
BOOKKEEPER-245,1,1,2
BOOKKEEPER-258,1,1,2
BOOKKEEPER-260,1,1,2
BOOKKEEPER-263,1,1,2
BOOKKEEPER-273,1,1,2
BOOKKEEPER-274,1,1,2
BOOKKEEPER-279,1,1,2
BOOKKEEPER-280,1,2,3
BOOKKEEPER-281,1,1,2
BOOKKEEPER-285,1,1,2
BOOKKEEPER-286,1,1,2
BOOKKEEPER-287,1,1,2
BOOKKEEPER-288,1,1,2
BOOKKEEPER-291,1,2,3
BOOKKEEPER-292,1,2,3
BOOKKEEPER-294,2,2,3
BOOKKEEPER-296,1,2,3
BOOKKEEPER-298,1,2,3
BOOKKEEPER-302,2,2,3
BOOKKEEPER-303,1,2,3
BOOKKEEPER-306,1,2,3
BOOKKEEPER-307,1,2,3
BOOKKEEPER-313,1,3,5
BOOKKEEPER-322,1,2,3
BOOKKEEPER-324,1,2,3
BOOKKEEPER-326,2,2,3
BOOKKEEPER-327,1,2,3
BOOKKEEPER-329,1,2,3
BOOKKEEPER-330,1,2,3
BOOKKEEPER-336,2,2,3
BOOKKEEPER-337,1,2,3
BOOKKEEPER-338,1,2,3
BOOKKEEPER-343,2,2,3
BOOKKEEPER-349,2,2,3
BOOKKEEPER-351,1,2,3
BOOKKEEPER-352,1,2,3
BOOKKEEPER-354,1,2,3
BOOKKEEPER-355,1,2,3
BOOKKEEPER-363,1,3,7
BOOKKEEPER-365,1,2,3
BOOKKEEPER-371,1,2,3
BOOKKEEPER-372,1,2,3
BOOKKEEPER-381,1,2,3
BOOKKEEPER-382,1,2,3
BOOKKEEPER-383,2,2,3
BOOKKEEPER-387,2,2,3
BOOKKEEPER-392,1,2,3
BOOKKEEPER-395,1,2,3
BOOKKEEPER-396,2,2,3
BOOKKEEPER-397,1,2,3
BOOKKEEPER-403,1,2,3
BOOKKEEPER-404,1,2,3
BOOKKEEPER-408,2,2,3
BOOKKEEPER-413,1,2,3
BOOKKEEPER-415,1,2,3
BOOKKEEPER-424,1,2,3
BOOKKEEPER-425,1,2,3
BOOKKEEPER-427,1,2,3
BOOKKEEPER-434,1,2,3
BOOKKEEPER-436,1,2,3
BOOKKEEPER-439,1,2,3
BOOKKEEPER-441,1,2,3
