ReferringTicketID,1,2,3,4,5,6,7,8,9,10,11,12,13,JIRACheck
BOOKKEEPER-5,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-1,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-18,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-19,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-22,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-27,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-28,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-29,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-38,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-39,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-40,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-43,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-50,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-51,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-52,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-53,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-55,IOA,A,F,-,-,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
BOOKKEEPER-56,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-57,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-58,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-59,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-61,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-62,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-63,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-65,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-66,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-68,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-69,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-71,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-72,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-74,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-79,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-80,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-81,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-86,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-87,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-88,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-92,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-93,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-94,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-100,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-106,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-107,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-112,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-113,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-115,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-118,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-119,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-124,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-125,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-127,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-128,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-129,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-131,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,AV_AFTER_FV*FV_AS_AV
BOOKKEEPER-133,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-134,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-135,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-137,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-138,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-139,IOAF,-,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-140,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-142,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-146,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-148,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-150,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-152,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-153,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-156,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-161,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-162,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-163,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-166,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-167,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-169,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-170,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-171,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-173,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-174,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-176,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-177,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
