ID,Created (JIRA),Fixed (JIRA)
BOOKKEEPER-680,Wed Apr 01 17:59:07 CEST 2009,Mon Oct 09 13:47:23 CEST 2017
BOOKKEEPER-5,Mon Feb 21 21:55:47 CET 2011,Tue Aug 30 09:49:03 CEST 2011
BOOKKEEPER-1,Tue Apr 26 19:19:10 CEST 2011,Wed May 25 11:42:40 CEST 2011
BOOKKEEPER-18,Mon May 16 18:40:33 CEST 2011,Mon Aug 29 19:34:45 CEST 2011
BOOKKEEPER-19,Wed May 18 14:55:23 CEST 2011,Fri May 20 16:15:56 CEST 2011
BOOKKEEPER-21,Tue May 31 19:32:01 CEST 2011,Tue Jun 28 06:27:39 CEST 2011
BOOKKEEPER-22,Wed Jun 01 13:31:09 CEST 2011,Mon Jun 06 17:50:21 CEST 2011
BOOKKEEPER-24,Thu Jun 02 15:46:26 CEST 2011,Mon Oct 09 11:56:38 CEST 2017
BOOKKEEPER-27,Wed Jun 29 13:11:34 CEST 2011,Sun Jul 31 01:59:12 CEST 2011
BOOKKEEPER-28,Wed Jun 29 14:33:42 CEST 2011,Tue Aug 30 10:47:49 CEST 2011
BOOKKEEPER-29,Wed Jun 29 17:35:13 CEST 2011,Thu Aug 11 21:38:50 CEST 2011
BOOKKEEPER-38,Mon Aug 08 08:53:22 CEST 2011,Wed Aug 24 00:39:35 CEST 2011
BOOKKEEPER-39,Mon Aug 08 11:15:25 CEST 2011,Mon Nov 28 19:29:17 CET 2011
BOOKKEEPER-40,Mon Aug 08 13:29:00 CEST 2011,Fri Jan 13 18:07:11 CET 2012
BOOKKEEPER-42,Wed Aug 10 20:40:57 CEST 2011,Mon Oct 09 11:56:29 CEST 2017
BOOKKEEPER-43,Thu Aug 11 07:20:40 CEST 2011,Wed Aug 24 00:35:08 CEST 2011
BOOKKEEPER-50,Thu Aug 18 12:41:02 CEST 2011,Fri Nov 04 11:47:18 CET 2011
BOOKKEEPER-51,Thu Aug 18 12:52:23 CEST 2011,Tue Aug 30 11:14:52 CEST 2011
BOOKKEEPER-52,Thu Aug 18 13:07:11 CEST 2011,Tue Aug 30 12:14:39 CEST 2011
BOOKKEEPER-53,Thu Aug 25 07:48:13 CEST 2011,Tue Nov 29 00:18:42 CET 2011
