SortedID,Name,Hash,Referred_Commit,Version_Date
1,4.0.0,92946c09ee0e2e6e456f77d5d87a7c92a9ce30d1,null,2011-12-07
2,4.1.0,677a11c4d8e5b0844842b3c427d0d9a8f506b1a6,null,2012-06-13
3,4.2.0,7747bd9f9c2ce7699542638add5894f7f287b42a,null,2013-01-19
4,4.2.1,fb4524e451e82cce7c70af470202f13aa035f38c,null,2013-03-27
5,4.2.2,48445f6d9eb7a53d31ccd6fe9e0ef9f465c4db24,null,2013-10-10
6,4.3.0,179292d6452934ff9bb1fe5b66f46ff6d86a33e5,null,2014-02-02
7,4.2.3,1266f4c70c314b8f95826033040bcc24e95717e1,null,2014-06-27
8,4.3.1,1da7dc1106801c154cde70103a366167dcf2e78f,null,2015-05-24
9,4.3.2,de67421c915a83be5a627fcb730416d080b0e2a7,null,2015-11-17
10,4.4.0,24a69a5a0f77fe7a703dc104baf71ecb89e4e9c4,null,2016-05-16
11,4.5.0,865919788ab3fa422b109acb53a44ff95e19801e,null,2017-08-10
12,4.5.1,3ea2b388b5ef02622312fe08e6935a5f9c655e00,null,2017-09-10
13,4.6.0,92b438cac4caf7fb312f8d8e7b2538f6dcbbfdba,null,2017-11-10
