Dataset,#TrainingRelease,%training,%Defective_in_training,%Defective_in_testing,Classifier,Feature_Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,NoFilter,NoSampling,NoCostSensitive,167.0,168.0,5.0,11.0,0.49850746268656715,0.9382022471910112,0.7205137364421641,-0.03332072430636658
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,NoFilter,NoSampling,SensitiveThreshold,178.0,173.0,0.0,0.0,0.5071225071225072,1.0,0.5,0.0
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,NoFilter,NoSampling,SensitiveLearning,178.0,173.0,0.0,0.0,0.5071225071225072,1.0,0.7084984087809314,0.0
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,NoFilter,UnderSampling,NoCostSensitive,0.0,0.0,173.0,178.0,0.0,0.0,0.44523283756575954,0.0
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,NoFilter,UnderSampling,SensitiveThreshold,98.0,102.0,71.0,80.0,0.49,0.550561797752809,0.4804832110151328,-0.03910341910927502
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,NoFilter,UnderSampling,SensitiveLearning,0.0,0.0,173.0,178.0,0.0,0.0,0.6860914463856596,0.0
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,NoFilter,OverSampling,NoCostSensitive,144.0,85.0,88.0,34.0,0.62882096069869,0.8089887640449438,0.7316685068519841,0.3189799944564915
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,NoFilter,OverSampling,SensitiveThreshold,178.0,173.0,0.0,0.0,0.5071225071225072,1.0,0.5,0.0
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,NoFilter,OverSampling,SensitiveLearning,154.0,152.0,21.0,24.0,0.5032679738562091,0.8651685393258427,0.5684386568812106,-0.013585351447135161
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,NoFilter,SMOTESampling,NoCostSensitive,153.0,112.0,61.0,25.0,0.5773584905660377,0.8595505617977528,0.7314411898421771,0.21366081794842443
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,NoFilter,SMOTESampling,SensitiveThreshold,178.0,173.0,0.0,0.0,0.5071225071225072,1.0,0.5,0.0
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,NoFilter,SMOTESampling,SensitiveLearning,177.0,173.0,0.0,1.0,0.5057142857142857,0.9943820224719101,0.5976651295706956,-0.005697536556448542
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,BestFirstFilter,NoSampling,NoCostSensitive,168.0,104.0,69.0,10.0,0.6176470588235294,0.9438202247191011,0.6911573683185036,0.3452992571746459
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,BestFirstFilter,NoSampling,SensitiveThreshold,175.0,145.0,28.0,3.0,0.546875,0.9831460674157303,0.5724978891991946,0.1466868162554618
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,BestFirstFilter,NoSampling,SensitiveLearning,178.0,157.0,16.0,0.0,0.5313432835820896,1.0,0.7229655127622264,0.09367958817821471
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,BestFirstFilter,UnderSampling,NoCostSensitive,3.0,10.0,163.0,175.0,0.23076923076923078,0.016853932584269662,0.3683185036045983,-0.04040824828160796
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,BestFirstFilter,UnderSampling,SensitiveThreshold,55.0,95.0,78.0,123.0,0.36666666666666664,0.3089887640449438,0.3799279080340326,-0.239599533437014
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,BestFirstFilter,UnderSampling,SensitiveLearning,71.0,22.0,151.0,107.0,0.7634408602150538,0.398876404494382,0.7339741508085991,0.26984664505829414
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,BestFirstFilter,OverSampling,NoCostSensitive,162.0,103.0,70.0,16.0,0.6113207547169811,0.9101123595505618,0.6994219653179191,0.31697545500629554
