Version,Name,Size,NR,NAuth,LOC_Touched,LOC_Added,Max_LOC_Added,Avg_LOC_Added,Churn,ChgSetSize,Buggy
1,openjpa-examples/src/main/java/reversemapping/Main.java,3,1,1,120,120,120,120.0,120,1,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/H2Dictionary.java,3,1,1,230,230,230,230.0,230,2,false
1,openjpa-kernel/src/main/java/org/apache/openjpa/conf/BrokerValue.java,3,1,1,49,49,49,49.0,49,4,false
1,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/Reflection.java,3,1,1,537,537,537,537.0,537,12,false
1,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/FinalizingBrokerImpl.java,3,1,1,23,23,23,23.0,23,4,false
1,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryHints.java,3,1,1,25,25,25,25.0,25,11,false
1,openjpa-kernel/src/main/java/org/apache/openjpa/util/DoubleId.java,3,1,1,66,66,66,66.0,66,9,true
1,openjpa-kernel/src/main/java/org/apache/openjpa/util/FloatId.java,3,1,1,65,65,65,65.0,65,9,true
1,openjpa-kernel/src/main/java/org/apache/openjpa/util/NoResultException.java,3,1,1,43,43,43,43.0,43,6,true
1,openjpa-kernel/src/main/java/org/apache/openjpa/util/NonUniqueResultException.java,3,1,1,43,43,43,43.0,43,6,true
1,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyBean.java,3,1,1,32,32,32,32.0,32,26,false
1,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyCollections.java,3,1,1,468,468,468,468.0,468,26,false
1,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyMaps.java,3,1,1,282,282,282,282.0,282,26,false
1,openjpa-kernel/src/test/java/org/apache/openjpa/util/TestProxyManager.java,3,1,1,971,971,971,971.0,971,26,false
1,openjpa-lib/src/test/java/org/apache/openjpa/lib/conf/TestConfigurationProviderPrefixes.java,3,1,1,85,85,85,85.0,85,11,false
1,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/IsolationLevel.java,3,1,1,71,71,71,71.0,71,6,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/conf/TestAutoDetachProperty.java,3,1,1,76,76,76,76.0,76,5,true
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/conf/TestBadAutoDetachProperty.java,3,1,1,82,82,82,82.0,82,5,true
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/jdbc/meta/TestMappingToolAutoDelete.java,3,1,1,61,61,61,61.0,61,1,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/callbacks/ExceptionsFromCallbacksEntity.java,3,1,1,57,57,57,57.0,57,2,false
