% 1. Title: OPENJPA project analysis
% 
% 2. Sources: 
%    (a) Massimo Stanzione
%    (b) OPENJPA public git repository
% 
% 3. Relevant Information:
%      This dataset is used in the deliverable 2 of the "Ingegneria del Software II" exam,
%      Machine Learning module, Faculty of Engineering, University of Rome Tor Vergata.
% 
% 4. Number of Instances: 15405
% 
% 5. Number of Attributes: 12
% 

@RELATION	OPENJPA

@ATTRIBUTE	Version	NUMERIC
@ATTRIBUTE	Name	STRING
@ATTRIBUTE	Size	NUMERIC
@ATTRIBUTE	NR	NUMERIC
@ATTRIBUTE	NAuth	NUMERIC
@ATTRIBUTE	LOC_Touched	NUMERIC
@ATTRIBUTE	LOC_Added	NUMERIC
@ATTRIBUTE	Max_LOC_Added	NUMERIC
@ATTRIBUTE	Avg_LOC_Added	NUMERIC
@ATTRIBUTE	Churn	NUMERIC
@ATTRIBUTE	ChgSetSize	NUMERIC
@ATTRIBUTE	Buggy	{true,false}

@DATA
1,openjpa-examples/simple/src/main/java/hellojpa/Message.java,72,1,1,23,13,13,13.0,3,1124,false
1,openjpa-examples/simple/src/main/java/relations/Deity.java,197,2,2,23,14,13,7.0,3,1124,false
1,openjpa-examples/simple/src/main/java/relations/Main.java,170,1,1,23,13,13,13.0,3,1124,false
1,openjpa-examples/simple/src/main/java/reversemapping/Main.java,120,1,1,120,120,120,120.0,120,1,false
1,openjpa-examples/src/main/java/hellojpa/Main.java,76,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/EnumValueHandler.java,103,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java,215,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java,261,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java,151,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/FetchModeValue.java,53,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java,605,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java,883,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCProductDerivation.java,51,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCSeqValue.java,61,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingFactoryValue.java,162,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingRepositoryValue.java,63,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSavepointManager.java,138,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java,218,2,2,23,73,60,36.5,50,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java,369,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java,262,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConnectionInfo.java,35,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java,263,4,3,23,42,17,10.5,20,1124,true
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/EagerFetchModes.java,45,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/GenericResultObjectProvider.java,129,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/InstanceResultObjectProvider.java,61,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBC3SavepointManager.java,65,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCBrokerFactory.java,172,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfiguration.java,210,4,3,23,55,35,13.75,38,1124,true
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfigurationImpl.java,348,5,3,23,60,20,12.0,26,1124,true
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCLockManager.java,49,1,1,23,13,13,13.0,3,1124,false
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCSeq.java,41,1,1,23,13,13,13.0,3,1124,false
