ReferringTicketID,IV,OV,FV
OPENJPA-9,1,1,5
OPENJPA-13,1,1,1
OPENJPA-15,1,1,1
OPENJPA-20,1,1,8
OPENJPA-21,1,1,2
OPENJPA-24,1,1,2
OPENJPA-28,1,1,8
OPENJPA-35,1,1,2
OPENJPA-42,1,1,1
OPENJPA-44,1,1,8
OPENJPA-46,1,1,2
OPENJPA-51,1,1,7
OPENJPA-71,1,1,2
OPENJPA-74,1,1,1
OPENJPA-75,1,1,8
OPENJPA-77,1,1,2
OPENJPA-80,1,1,2
OPENJPA-100,1,1,2
OPENJPA-102,1,1,2
OPENJPA-103,1,1,2
OPENJPA-113,1,2,4
OPENJPA-116,1,1,2
OPENJPA-118,1,1,2
OPENJPA-121,1,1,2
OPENJPA-122,1,1,2
OPENJPA-132,1,1,2
OPENJPA-134,1,1,2
OPENJPA-142,1,1,2
OPENJPA-146,1,1,2
OPENJPA-148,1,2,3
OPENJPA-150,1,1,2
OPENJPA-162,1,1,2
OPENJPA-174,1,1,2
OPENJPA-181,1,1,2
OPENJPA-186,1,1,2
OPENJPA-202,1,1,2
OPENJPA-207,1,2,10
OPENJPA-208,1,1,2
OPENJPA-209,1,2,7
OPENJPA-210,1,2,7
OPENJPA-214,1,1,2
OPENJPA-218,1,2,10
OPENJPA-222,2,2,3
OPENJPA-237,2,2,3
OPENJPA-241,1,3,7
OPENJPA-244,1,2,3
OPENJPA-245,1,3,5
OPENJPA-256,1,2,3
OPENJPA-258,1,3,5
OPENJPA-269,1,2,3
OPENJPA-282,1,3,4
OPENJPA-284,1,2,3
OPENJPA-288,1,2,3
OPENJPA-295,1,2,3
OPENJPA-303,1,2,3
OPENJPA-326,2,3,4
OPENJPA-331,2,3,5
OPENJPA-339,2,3,4
OPENJPA-340,1,4,7
OPENJPA-343,2,3,4
OPENJPA-349,3,4,7
OPENJPA-353,3,3,4
OPENJPA-355,3,3,4
OPENJPA-356,1,3,4
OPENJPA-357,2,3,4
OPENJPA-358,2,3,4
OPENJPA-359,3,4,6
OPENJPA-360,1,3,4
OPENJPA-364,1,4,6
OPENJPA-365,1,4,7
OPENJPA-366,3,4,5
OPENJPA-368,2,3,4
OPENJPA-375,1,3,4
OPENJPA-378,1,3,4
OPENJPA-386,2,4,10
OPENJPA-389,1,3,4
OPENJPA-394,1,3,4
OPENJPA-399,4,4,5
OPENJPA-401,3,4,5
OPENJPA-402,1,3,4
OPENJPA-413,3,3,4
OPENJPA-415,1,3,4
OPENJPA-419,1,4,5
OPENJPA-420,3,4,5
OPENJPA-427,3,4,5
OPENJPA-428,3,4,18
OPENJPA-442,1,5,6
OPENJPA-446,4,4,5
OPENJPA-447,1,4,5
OPENJPA-452,1,4,5
OPENJPA-456,1,5,6
OPENJPA-458,4,5,7
OPENJPA-459,3,5,11
OPENJPA-460,1,4,5
OPENJPA-462,2,5,7
OPENJPA-464,1,4,5
OPENJPA-466,3,5,11
OPENJPA-470,1,5,7
OPENJPA-471,4,4,5
OPENJPA-478,1,5,16
OPENJPA-485,1,5,8
OPENJPA-495,1,5,7
OPENJPA-497,4,5,8
OPENJPA-508,3,4,5
OPENJPA-509,1,5,7
OPENJPA-518,4,5,6
OPENJPA-525,3,6,10
OPENJPA-526,3,6,15
OPENJPA-528,1,5,6
OPENJPA-530,1,5,6
OPENJPA-532,1,5,6
OPENJPA-533,3,6,7
OPENJPA-535,5,5,6
OPENJPA-536,1,5,6
OPENJPA-539,1,5,6
OPENJPA-547,1,5,6
OPENJPA-550,5,6,8
OPENJPA-552,1,5,6
OPENJPA-557,5,6,9
OPENJPA-559,1,5,6
OPENJPA-565,1,5,6
OPENJPA-573,5,6,10
OPENJPA-574,2,6,7
OPENJPA-580,1,6,9
OPENJPA-581,2,6,7
OPENJPA-586,2,6,7
OPENJPA-589,1,5,6
OPENJPA-590,1,5,6
OPENJPA-594,4,5,6
OPENJPA-595,1,5,6
OPENJPA-596,2,6,7
OPENJPA-602,6,6,7
OPENJPA-605,1,5,6
OPENJPA-606,2,6,7
OPENJPA-607,2,6,7
OPENJPA-612,2,6,7
OPENJPA-614,2,6,7
OPENJPA-617,2,6,7
OPENJPA-619,6,7,8
OPENJPA-622,2,6,7
OPENJPA-625,6,6,7
OPENJPA-628,6,7,8
OPENJPA-629,2,6,7
OPENJPA-630,5,6,7
OPENJPA-632,4,6,7
OPENJPA-634,2,6,7
OPENJPA-642,2,6,7
OPENJPA-644,2,6,7
OPENJPA-645,2,6,7
OPENJPA-647,6,6,7
OPENJPA-650,5,7,9
OPENJPA-653,2,6,7
OPENJPA-656,2,6,7
OPENJPA-657,2,6,7
OPENJPA-659,6,6,7
OPENJPA-660,3,7,8
OPENJPA-662,3,7,8
OPENJPA-664,3,7,8
OPENJPA-665,3,7,8
OPENJPA-669,1,7,8
OPENJPA-670,1,7,8
OPENJPA-674,3,7,8
OPENJPA-676,1,8,9
OPENJPA-677,1,8,17
OPENJPA-678,6,8,9
OPENJPA-679,1,8,10
OPENJPA-680,1,8,12
OPENJPA-692,4,8,9
OPENJPA-693,4,8,9
OPENJPA-695,8,8,9
OPENJPA-696,3,9,21
OPENJPA-697,5,9,10
OPENJPA-698,4,8,9
OPENJPA-699,3,8,9
OPENJPA-700,1,8,9
OPENJPA-705,4,8,9
OPENJPA-710,1,8,9
OPENJPA-711,1,8,9
OPENJPA-712,1,8,9
OPENJPA-713,7,8,9
OPENJPA-714,6,9,11
OPENJPA-719,1,8,9
OPENJPA-724,1,8,9
OPENJPA-727,4,8,9
OPENJPA-731,4,8,9
OPENJPA-732,1,8,9
OPENJPA-733,8,8,9
OPENJPA-740,1,9,12
OPENJPA-745,8,8,9
OPENJPA-750,1,8,9
OPENJPA-751,1,8,9
OPENJPA-755,4,8,9
OPENJPA-761,1,8,9
OPENJPA-762,8,8,9
OPENJPA-764,4,8,9
OPENJPA-777,1,8,9
OPENJPA-792,1,8,9
OPENJPA-794,1,8,9
OPENJPA-795,8,8,9
OPENJPA-798,1,8,9
OPENJPA-799,1,8,9
OPENJPA-801,1,8,9
OPENJPA-811,1,8,9
OPENJPA-812,1,8,9
OPENJPA-815,4,8,9
OPENJPA-818,1,8,9
OPENJPA-819,1,8,9
OPENJPA-820,1,9,12
OPENJPA-821,1,8,9
OPENJPA-824,4,8,9
OPENJPA-825,1,9,10
OPENJPA-828,1,9,19
OPENJPA-834,1,8,9
OPENJPA-835,1,8,9
OPENJPA-836,1,8,9
OPENJPA-838,8,8,9
OPENJPA-843,1,8,9
OPENJPA-845,4,8,9
OPENJPA-847,1,9,10
OPENJPA-853,8,8,9
OPENJPA-859,1,9,11
OPENJPA-860,8,8,9
OPENJPA-863,1,8,9
OPENJPA-864,7,8,9
OPENJPA-866,1,8,9
OPENJPA-867,1,9,17
OPENJPA-873,8,8,9
OPENJPA-883,1,9,10
OPENJPA-884,1,8,9
OPENJPA-887,1,9,10
OPENJPA-890,1,9,10
OPENJPA-898,8,8,9
OPENJPA-912,1,8,9
OPENJPA-916,1,8,9
OPENJPA-917,8,8,9
OPENJPA-922,1,9,23
OPENJPA-925,1,8,9
OPENJPA-927,1,8,9
OPENJPA-932,1,9,10
OPENJPA-933,1,9,10
OPENJPA-934,1,9,10
OPENJPA-935,8,9,12
OPENJPA-940,1,9,15
OPENJPA-944,3,9,12
OPENJPA-955,8,8,9
OPENJPA-965,1,8,9
OPENJPA-973,5,9,10
OPENJPA-981,5,9,10
OPENJPA-992,1,9,10
OPENJPA-993,8,10,11
OPENJPA-999,1,9,10
OPENJPA-1001,9,10,12
OPENJPA-1002,1,9,10
OPENJPA-1004,1,9,10
OPENJPA-1020,1,10,12
OPENJPA-1025,1,9,10
OPENJPA-1028,1,9,10
OPENJPA-1029,1,9,10
OPENJPA-1031,5,9,10
