Class...,... in version ...,... is touched by commit ...,... related to bug...,... which lifecycle is...
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DB2Dictionary.java,1,6cb121e192041b65410fa2af968921c908b14d14,OPENJPA-77,1 2
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java,1,6cb121e192041b65410fa2af968921c908b14d14,OPENJPA-77,1 2
openjpa-kernel/src/main/java/org/apache/openjpa/meta/AbstractCFMetaDataFactory.java,1,6055a34b4215b472dce012d28ead7a2a7c6f8f19,OPENJPA-100,1 2
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataFactory.java,1,6055a34b4215b472dce012d28ead7a2a7c6f8f19,OPENJPA-100,1 2
openjpa-kernel/src/main/java/org/apache/openjpa/conf/AutoDetachValue.java,1,c7128669c7e1f439f45c62d07b58e8add38343d2,OPENJPA-102,1 2
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AutoDetach.java,1,c7128669c7e1f439f45c62d07b58e8add38343d2,OPENJPA-102,1 2
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java,1,c7128669c7e1f439f45c62d07b58e8add38343d2,OPENJPA-102,1 2
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachManager.java,1,c7128669c7e1f439f45c62d07b58e8add38343d2,OPENJPA-102,1 2
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerFactoryImpl.java,1,c7128669c7e1f439f45c62d07b58e8add38343d2,OPENJPA-102,1 2
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataParser.java,1,bb7bf5940928786ce650ef9e3f6c0fb4c84d57ce,OPENJPA-103,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/detachment/TestGetReferenceAndImplicitDetachment.java,1,4f0c54211df547e848b6a7605b2f255563634fda,OPENJPA-102,1 2
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl.java,1,17c6580e4ce21e706513f77586372d9bf257a244,OPENJPA-116,1 2
openjpa-kernel/src/main/java/org/apache/openjpa/conf/AutoDetachValue.java,1,2ac1bcccbb4070da2c86bfee4c7368d9466141ca,OPENJPA-118,1 2
openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/StringListValue.java,1,2ac1bcccbb4070da2c86bfee4c7368d9466141ca,OPENJPA-118,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/conf/TestAutoDetachProperty.java,1,2ac1bcccbb4070da2c86bfee4c7368d9466141ca,OPENJPA-118,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/conf/TestBadAutoDetachProperty.java,1,2ac1bcccbb4070da2c86bfee4c7368d9466141ca,OPENJPA-118,1 2
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerFactoryImpl.java,1,2ac1bcccbb4070da2c86bfee4c7368d9466141ca,OPENJPA-118,1 2
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl.java,1,862cd158ed5acee7361881860548c03444d01dd6,OPENJPA-122,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/simple/TestEntityManagerMethodsThrowAfterClose.java,1,cde63a43060c630a4ec641d127ecccf05bb05384,OPENJPA-122,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/simple/TestEntityManagerMethodsThrowAfterClose.java,1,a5dcfc91fa956627c66d3100717c308e3855d6c0,OPENJPA-122,1 2
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingTool.java,1,1b446958f5699c2adecb3163ab9ce44b873b2f57,OPENJPA-146,1 2
openjpa-kernel/src/main/java/org/apache/openjpa/meta/ValueMetaDataImpl.java,1,1b446958f5699c2adecb3163ab9ce44b873b2f57,OPENJPA-146,1 2
openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingParser.java,1,372b83736d50dba2a81f947b4bfd8220b8f62ed4,OPENJPA-150,1 2
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCRelatedFieldOrder.java,1,afce8f543abfbcbe81eb87c7ed5e22c1879e44a5,OPENJPA-162,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/relations/IdOrderedOneManyChild.java,1,afce8f543abfbcbe81eb87c7ed5e22c1879e44a5,OPENJPA-162,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/relations/IdOrderedOneManyParent.java,1,afce8f543abfbcbe81eb87c7ed5e22c1879e44a5,OPENJPA-162,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/relations/TestIdOrderedOneMany.java,1,afce8f543abfbcbe81eb87c7ed5e22c1879e44a5,OPENJPA-162,1 2
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MySQLDictionary.java,1,1af233a0b3b7ad19ed14aa1b0a297269f7905e97,OPENJPA-80,1 2
openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/PersistenceMappingDefaults.java,1,d2c748d1094f295243c7a3b9efe2b937d8bc9b0b,OPENJPA-121,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/kernel/TestQueryCompilationCache.java,1,d2c748d1094f295243c7a3b9efe2b937d8bc9b0b,OPENJPA-121,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/company/basic/Address.java,1,d2c748d1094f295243c7a3b9efe2b937d8bc9b0b,OPENJPA-121,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/company/basic/Company.java,1,d2c748d1094f295243c7a3b9efe2b937d8bc9b0b,OPENJPA-121,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/company/basic/LineItem.java,1,d2c748d1094f295243c7a3b9efe2b937d8bc9b0b,OPENJPA-121,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/company/basic/Person.java,1,d2c748d1094f295243c7a3b9efe2b937d8bc9b0b,OPENJPA-121,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/company/basic/Product.java,1,d2c748d1094f295243c7a3b9efe2b937d8bc9b0b,OPENJPA-121,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/company/basic/ProductOrder.java,1,d2c748d1094f295243c7a3b9efe2b937d8bc9b0b,OPENJPA-121,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/company/fetchlazy/Address.java,1,d2c748d1094f295243c7a3b9efe2b937d8bc9b0b,OPENJPA-121,1 2
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/company/fetchlazy/Company.java,1,d2c748d1094f295243c7a3b9efe2b937d8bc9b0b,OPENJPA-121,1 2
