SortedID,Name,Hash,Referred_Commit,Version_Date
1,0.9.6,15237f9becaeeead29bafa5bfabee85fdc867482,null,2006-11-29
2,0.9.7,d08a6a1b3ef3d597e95c86722fbd40eafc81af7e,null,2007-04-27
3,1.0.0,afd335f61d922ba7caef1740fb58c51f5c0e8bd9,null,2007-08-28
4,1.0.1,db43dd8c9cd30c760841299b48c4d19de425e261,null,2007-11-09
5,1.0.2,8faf8c14ba217e264a9e6579babebab3734a53fb,null,2008-02-18
6,1.1.0,16b82c1649fe5bb57466166e1ad0bfb86a942891,null,2008-05-22
7,1.0.3,cc6b6a629c6cf9c19c3edba86c3f7cd1c13c9f6d,null,2008-07-23
8,1.2.0,3606489e55236a9adf79acdeba7b4753c09f20e1,null,2008-08-12
9,1.2.1,8d39b7f05a1499e12e66f5a43401e736d0acd025,null,2009-03-18
10,2.0.0-M3,caf5edffb6a1b8698c35a849de01eff079167651,null,2009-10-12
11,1.2.2,db3c78e925e934c1aa577f77aef3dde339a2ee48,null,2010-01-18
12,2.0.0,11e12bb8657d51983205fb47d8b473772e39400f,null,2010-04-22
13,2.0.1,bc60e797758b968049059c8e08657b07d3c8bf09,null,2010-08-30
14,1.0.4,15a4ae8f03c27fc3fd18276417e3536fe012c0ec,null,2010-09-03
15,2.1.0,d4fa15c99f6c367ae00c5f8cbf6a08635c7a7aa7,null,2011-02-21
16,2.1.1,2053d733f7b85cbbac43510597bd451fbe0f49e1,null,2011-07-25
17,2.2.0,6b146fba914a858b6e5aa2e2cf0161506747e7f8,null,2012-02-20
18,2.2.1,18f20a1253086e4471484b8de768f6770e7f4e90,null,2012-11-01
19,1.2.3,0961264828b5725740bc1900f0fda351fa3e0e0d,null,2013-04-17
20,2.2.2,c160bf69ca0d5d1f3e461af8a828487291ffe50d,null,2013-04-22
21,2.3.0,5e6d5c6f76d043b6f35733adf2accbbbf1591224,null,2013-11-24
22,2.4.0,73e4e760e792006b0855b42143ca2b840c740320,null,2015-04-22
23,2.4.1,cb198886521f259c7e9cde8dfda6b2b7b811ed0c,null,2016-02-21
24,2.4.2,f42fd9bd7effd44427acabb1db5e3be2e5b2d6e1,null,2017-01-03
25,2.4.3,790b99683347611dc0ce26c4b7e5b1b9f4aa2939,null,2018-06-12
26,3.0.0,96cb96084e0519fbb2bdfb7d27b47624005a8674,null,2018-06-12
27,3.1.0,193ed46f56cdd09d5cadd8402a8558ae902b5456,null,2019-04-14
28,3.1.1,e7d6f566b2d2e8500edc9022e272d2a181bf80e3,null,2020-02-03
29,3.1.2,9fc9627b3c2c6a22f7dfbf14a22038c60302e251,null,2020-07-13
30,3.2.0,193e2bf378893eb1a78d8dbe28f5a370db6e51e6,null,2021-05-14
